Run Info Table,,,,,,,,,,
Number of Runs,SeedType,,,,,,,,,
30,random,,,,,,,,,
,,,,,,,,,,
Calendar Table,,,,,,,,,,
Month,Number of Days,,,,,,,,,
1,31,,,,,,,,,
2,28,,,,,,,,,
3,31,,,,,,,,,
4,30,,,,,,,,,
5,31,,,,,,,,,
6,30,,,,,,,,,
7,31,,,,,,,,,
8,31,,,,,,,,,
9,30,,,,,,,,,
10,31,,,,,,,,,
11,30,,,,,,,,,
12,31,,,,,,,,,
,,,,,,,,,,
Aircraft Info Table,,,,,,,,,,
Aircraft Type,Priority,Length,Wingspan,,,,,,,
F-35,1,51,35,,,,,,,
F-15,2,63.8,42.8,,,,,,,
F-18,1,56,37.42,,,,,,,
Apache,3,58,17.1,,,,,,,
,,,,,,,,,,
Planned Maintenance Table,,,,,,,,,,
Aircraft Type,Repair Job Name,Schedule Type,Schedule,Indoor Requirement,,,,,,
F-35,Engine Oil Change,Recurring,4 months,N,,,,,,
F-35,20000 Flight-Hour Engine Maintenance,Calendar,20-03-20,Y,,,,,,
F-18,10000 Flight-Hour Engine Maintenance,Calendar,30-04-20,Y,,,,,,
F-18,Radar Inspection,Recurring,6 months,Y,,,,,,
,,,,,,,,,,
Unplanned Arrivals Table,,,,,,,,,,
Aircraft Type,Inter-Arrival Time,,,,,,,,,
F-35,Triangular(0 1 3),,,,,,,,,
F-18,Uniform(0 2),,,,,,,,,
Apache,Triangular(0 1 4),,,,,,,,,
,,,,,,,,,,
Unplanned Maintenance Table,,,,,,,,,,
Aircraft Type,Repair Job Type,Probability,Indoor Requirement,,,,,,,
All,Defuel,"Uniform(0.9, 0.95)",N,,,,,,,
All,Refuel,Fixed(1.0),N,,,,,,,
All,Diagnostics Run,Fixed(1.0),N,,,,,,,
All,Download Weapons,"Uniform(0.8, 0.9)",N,,,,,,,
All,Flat Tire,Fixed(0.25),N,,,,,,,
All,Dearm,"Uniform(0.9, 0.95)",N,,,,,,,
Apache,Faulty Altimeter,Tri(0.05 0.1 0.12),Y,,,,,,,
Apache,Flat Tire,"Uniform(0.4, 0.5)",,,,,,,,
F-35,Antanae Failure,Uniform(0.01 0.03),Y,,,,,,,
F-35,Safety Harness Check,Fixed(0.30),N,,,,,,,
F-35,Radar Replacement,Uniform(0.05 0.06),Y,,,,,,,
F-18,Ejection Replacement,Fixed(0.002),Y,,,,,,,
F-18,Radar Replacement,Uniform(0.05 0.06),Y,,,,,,,
,,,,,,,,,,
Steps Table,,,,,,,,,,
Repair Job Type,Priority,Step ID,Step Name,Step Type,Inspection Failure Probability,Inspection Return Step,Step Duration,Required Resources(Amount Needed),Consumable Parts,Amount Required
Ejection Replacement,49,1,Remove Canopy,Process,,,Fixed(0.5),Mechanic(2),,
,,2,Deconstruct,Process,,,Uniform(0.25 1),Workbench Mechanic,,
,,3,Find Parts in Warehouse,Process,,,Fixed(1),"Mechanic, Dolly",,
,,4,Repair,Process,,,Tri(1.5 3 3.5),Workbench Mechanic,Ejection Component,
,,5,Reassembly,Process,,,Uniform(0.6 0.75),Mechanic,,
,,6,Test,Inspection,Triangular(0.01 0.05 0.07),3,Fixed(1.5),QA Engineer,,
Defuel,3,1,Remove Gas Cap,Process,,,Fixed(0.1),Mechanic,,
,,2,Defuel,Process,,,Tri(0.3 0.8 0.9),Mechanic,,
,,3,Replace Gas Cap,Process,,,Fixed(0.2),Mechanic,,
Refuel,50,1,Remove Gas Cap,Process,,,Fixed(0.2),Mechanic,,
,,2,Refuel,Process,,,Tri(0.3 0.8 0.9),Mechanic,Gas,15000
,,3,Replace Gas Cap,Process,,,Fixed(0.1),Mechanic,,
Generator Maitenance,50,1,Flush Fluids,Process,,,Fixed(0.5),Apprentice,,
,,2,Gas Up,Process,,,Fixed(0.5),Apprentice,Gas,1500
,,3,Inspect,Inspection,Uniform(0.001 0.002),1,Fixed(0.5),Mechanic,,
Crane Maitenance,50,1,Breakdown Crane,Process,,,Fixed(0.5),Apprentice,,
,,2,Repair Crane Issue,Process,,,Fixed(6.5),Mechanic,,
,,3,Inspect Crane Repairs,Inspection,Uniform(0.001 0.002),1,Fixed(0.5),Mechanic,,
Sick Mechanic,1,1,Illness,Process,,,Fixed(8),Mechanic,,
Download Weapons,2,1,Retrieve Weapons Skid,Process,,,Fixed(0.2),Mechanic Skid,,
,,2,Unlock Weapons,Process,,,Fixed(0.2),Mechanic Skid,,
,,3,Download Weapons,Process,,,Tri(0.7 1.3 1.8),Mechanic Skid,,
,,4,Store Weapons,Process,,,Uniform(0.8 1.6),Mechanic Skid,,
Diagnostics Run,1,1,Run Diagnostics,Process,,,Fixed(0.5),Mechanic Diagnostics-Machine,,
